Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,invalid,"invalid",1,112,350,150,24,4,100,24,28,100,1,16
3,invalid,"invalid",2,108,350,150,24,4,100,24,28,100,1,16
4,move,"move 0 16",3,113,350,150,24,4,100,24,28,100,0,16
5,move,"move 25 5",1,118,350,150,25,5,100,24,28,100,0,16
6,move,"move 25 29",2,123,350,150,25,5,100,25,29,100,0,16
7,nothing,"nothing "Player chose to do nothing"",3,123,350,150,25,5,100,25,29,100,0,16
8,move,"move 24 5",1,128,350,150,24,5,100,25,29,100,0,16
9,dig,"dig 24 30",2,135,350,150,24,5,100,25,29,100,0,16
10,nothing,"nothing "Player chose to do nothing"",3,135,350,150,24,5,100,25,29,100,0,16
11,nothing,"nothing "Player chose to do nothing"",1,135,350,150,24,5,100,25,29,100,0,16
12,move,"move 24 30",2,140,350,150,24,5,100,24,30,100,0,16
13,move,"move 0 17",3,145,350,150,24,5,100,24,30,100,0,17
14,move,"move 25 5",1,150,350,150,25,5,100,24,30,100,0,17
15,dig,"dig 25 30",2,157,350,150,25,5,100,24,30,100,0,17
16,nothing,"nothing "Player chose to do nothing"",3,157,350,150,25,5,100,24,30,100,0,17
17,nothing,"nothing "Player chose to do nothing"",1,157,350,150,25,5,100,24,30,100,0,17
18,dig,"dig 23 31",2,164,350,150,25,5,100,24,30,100,0,17
19,dig,"dig 0 18",3,171,350,150,25,5,100,24,30,100,0,17
20,dig,"dig 26 4",1,178,350,150,25,5,100,24,30,100,0,17
21,nothing,"nothing "Player chose to do nothing"",2,178,350,150,25,5,100,24,30,100,0,17
22,move,"move 1 16",3,183,350,150,25,5,100,24,30,100,1,16
23,dig,"dig 24 6",1,190,350,150,25,5,100,24,30,100,1,16
24,dig,"dig 23 30",2,197,350,150,25,5,100,24,30,100,1,16
25,move,"move 1 15",3,202,350,150,25,5,100,24,30,100,1,15
26,move,"move 25 4",1,207,350,150,25,4,100,24,30,100,1,15
27,move,"move 23 29",2,212,350,150,25,4,100,23,29,100,1,15
28,dig,"dig 2 14",3,219,350,150,25,4,100,23,29,100,1,15
29,move,"move 24 3",1,224,350,150,24,3,100,23,29,100,1,15
30,move,"move 23 30",2,229,350,150,24,3,100,23,30,100,1,15
31,move,"move 1 16",3,234,350,150,24,3,100,23,30,100,1,16
32,dig,"dig 24 2",1,241,350,150,24,3,100,23,30,100,1,16
33,move,"move 23 29",2,246,350,150,24,3,100,23,29,100,1,16
34,move,"move 0 15",3,251,350,150,24,3,100,23,29,100,0,15
35,nothing,"nothing "Player chose to do nothing"",1,251,350,150,24,3,100,23,29,100,0,15
36,dig,"dig 22 28",2,258,350,150,24,3,100,23,29,100,0,15
37,move,"move 1 16",3,263,350,150,24,3,100,23,29,100,1,16
38,nothing,"nothing "Player chose to do nothing"",1,263,350,150,24,3,100,23,29,100,1,16
39,dig,"dig 22 29",2,270,350,150,24,3,100,23,29,100,1,16
40,move,"move 0 16",3,275,350,150,24,3,100,23,29,100,0,16
41,dig,"dig 25 2",1,282,350,150,24,3,100,23,29,100,0,16
42,move,"move 22 28",2,287,350,150,24,3,100,22,28,100,0,16
43,move,"move 1 16",3,292,350,150,24,3,100,22,28,100,1,16
44,move,"move 25 3",1,297,350,150,25,3,100,22,28,100,1,16
45,dig,"dig 22 27",2,304,350,150,25,3,100,22,28,100,1,16
46,move,"move 0 15",3,309,350,150,25,3,100,22,28,100,0,15
47,move,"move 24 4",1,314,350,150,24,4,100,22,28,100,0,15
