Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,8,28,100,8,4,100,31,16
2,invalid,"invalid",1,112,350,150,8,28,100,8,4,100,31,16
3,move,"move 9 5",2,117,350,150,8,28,100,9,5,100,31,16
4,move,"move 30 17",3,122,350,150,8,28,100,9,5,100,30,17
5,move,"move 9 27",1,127,350,150,9,27,100,9,5,100,30,17
6,dig,"dig 10 6",2,134,350,150,9,27,100,9,5,100,30,17
7,dig,"dig 29 17",3,141,350,150,9,27,100,9,5,100,30,17
8,dig,"dig 10 26",1,148,350,150,9,27,100,9,5,100,30,17
9,move,"move 10 6",2,153,350,150,9,27,100,10,6,100,30,17
10,move,"move 29 17",3,158,350,150,9,27,100,10,6,100,29,17
11,move,"move 10 26",1,163,350,150,10,26,100,10,6,100,29,17
12,move,"move 11 7",2,168,350,150,10,26,100,11,7,100,29,17
13,move,"move 28 17",3,173,350,150,10,26,100,11,7,100,28,17
14,dig,"dig 11 25",1,180,350,150,10,26,100,11,7,100,28,17
15,move,"move 12 8",2,185,350,150,10,26,100,12,8,100,28,17
16,move,"move 27 17",3,190,350,150,10,26,100,12,8,100,27,17
17,move,"move 11 25",1,195,350,150,11,25,100,12,8,100,27,17
18,move,"move 13 9",2,200,350,150,11,25,100,13,9,100,27,17
19,dig,"dig 26 17",3,207,350,150,11,25,100,13,9,100,27,17
20,dig,"dig 12 24",1,214,350,150,11,25,100,13,9,100,27,17
21,dig,"dig 14 10",2,221,350,150,11,25,100,13,9,100,27,17
22,move,"move 26 17",3,226,350,150,11,25,100,13,9,100,26,17
23,move,"move 12 24",1,231,350,150,12,24,100,13,9,100,26,17
24,move,"move 14 10",2,236,350,150,12,24,100,14,10,100,26,17
25,dig,"dig 25 17",3,243,350,150,12,24,100,14,10,100,26,17
26,dig,"dig 13 23",1,250,350,150,12,24,100,14,10,100,26,17
27,dig,"dig 14 11",2,257,350,150,12,24,100,14,10,100,26,17
28,move,"move 25 17",3,262,350,150,12,24,100,14,10,100,25,17
29,move,"move 13 23",1,267,350,150,13,23,100,14,10,100,25,17
30,move,"move 14 11",2,272,350,150,13,23,100,14,11,100,25,17
31,move,"move 24 17",3,277,350,150,13,23,100,14,11,100,24,17
32,dig,"dig 14 22",1,284,350,150,13,23,100,14,11,100,24,17
33,dig,"dig 14 12",2,291,350,150,13,23,100,14,11,100,24,17
34,move,"move 23 17",3,296,350,150,13,23,100,14,11,100,23,17
35,move,"move 14 22",1,301,350,150,14,22,100,14,11,100,23,17
36,move,"move 14 12",2,306,350,150,14,22,100,14,12,100,23,17
37,move,"move 22 17",3,311,350,150,14,22,100,14,12,100,22,17
38,dig,"dig 15 21",1,318,350,150,14,22,100,14,12,100,22,17
39,move,"move 14 13",2,323,350,150,14,22,100,14,13,100,22,17
40,dig,"dig 21 17",3,330,350,150,14,22,100,14,13,100,22,17
41,move,"move 15 21",1,335,350,150,15,21,100,14,13,100,22,17
42,move,"move 14 14",2,340,350,150,15,21,100,14,14,100,22,17
43,move,"move 21 17",3,345,350,150,15,21,100,14,14,100,21,17
44,move,"move 16 20",1,350,350,150,16,20,100,14,14,100,21,17
45,move,"move 14 15",2,359,360,150,16,20,110,14,15,100,21,17
46,dig,"dig 20 17",3,366,360,150,16,20,110,14,15,100,21,17
47,dig,"dig 17 19",1,373,360,150,16,20,110,14,15,100,21,17
48,move,"move 15 16",2,378,360,150,16,20,110,15,16,100,21,17
49,move,"move 20 17",3,383,360,150,16,20,110,15,16,100,20,17
50,move,"move 17 19",1,388,360,150,17,19,110,15,16,100,20,17
51,move,"move 16 17",2,393,360,150,17,19,110,16,17,100,20,17
52,move,"move 19 17",3,398,360,150,17,19,110,16,17,100,19,17
53,move,"move 18 18",1,403,360,150,18,18,110,16,17,100,19,17
54,move,"move 17 17",2,408,360,150,18,18,110,17,17,100,19,17
55,move,"move 18 17",3,416,370,150,18,18,110,17,17,110,18,17
56,move,"move 19 17",1,421,370,150,19,17,110,17,17,110,18,17
57,dig,"dig 18 16",2,428,370,150,19,17,110,17,17,110,18,17
58,dig,"dig 19 16",3,435,370,150,19,17,110,17,17,110,18,17
59,dig,"dig 20 16",1,442,370,150,19,17,110,17,17,110,18,17
60,move,"move 18 16",2,447,370,150,19,17,110,18,16,110,18,17
61,move,"move 19 16",3,452,370,150,19,17,110,18,16,110,19,16
62,move,"move 20 16",1,457,370,150,20,16,110,18,16,110,19,16
63,dig,"dig 19 15",2,464,370,150,20,16,110,18,16,110,19,16
